"idTask","task content 1","idTag","tag"
"3637d9ac-119c-4a8f-899c-339cf5b42ae0","Alcalá de Guadaíra celebra la IV Semana de la Diversidad Sexual con acciones de sensibilización","81b36360-6cbf-4ffa-b558-9ef95c136714","sociedad"
"d56bab52-0029-45dd-ad90-5c17d4ed4c88","El Archipiélago Chinijo Graciplus se impone en el Trofeo Centro Comercial Rubicón","ed198b6d-a5b9-4557-91ff-c0be51707dec","deportes"
"dec70bc5-4932-4fa2-aeac-31a52377be02","Un total de 39 personas padecen ELA actualmente en la provincia","81b36360-6cbf-4ffa-b558-9ef95c136714","sociedad"
"fb396ba9-fbf1-4495-84d9-5314eb731405","Eurocopa 2021 | Italia vence a Gales y pasa a octavos con su candidatura reforzada","ed198b6d-a5b9-4557-91ff-c0be51707dec","deportes"
"e0beb37e-7aee-4176-9f83-db8d0e120eed","Decálogo de buenas prácticas para incrementar los polifenoles en el AOV","689e8b5a-fe7b-49af-8f2a-9d81c68c6ae1","n/a"
"bc5a36ca-4e0a-422e-9167-766b41008c01","Resolución de 10 de junio de 2021, del Ayuntamiento de Tarazona de La Mancha (Albacete), referente a la convocatoria para proveer una plaza.","81b36360-6cbf-4ffa-b558-9ef95c136714","sociedad"
"a87f8703-ce34-47a5-9c1b-e992c7fe60f6","El primer ministro sueco pierde una moción de censura","209ae89e-55b4-41fd-aac0-5400feab479e","politica"
"d80bdaad-0ad5-43a0-850e-c473fd612526","El dólar se dispara tras la reunión de la Fed","11925830-148e-4890-a2bc-da9dc059dc17","economia"
"f67708b1-6e81-4794-8417-31513f89aafd","Calviño abre este lunes el curso sobre la economía de la pandemia en la UIMP","11925830-148e-4890-a2bc-da9dc059dc17","economia"
"58a75e05-fd79-4777-a3b9-53440ec90e89","Moreno dice que la cultura es \"bien de primera necesidad\" y anima a museos a adaptarse usando tecnología e innovación","689e8b5a-fe7b-49af-8f2a-9d81c68c6ae1","n/a"
"cd21a9fd-9610-445a-b8a6-8e335982c8fe","Las cinco razones por las que te vas a convertir en adicta al aftersun capilar","0a33b88a-3a9c-4c2d-bb5b-ce2264aead50","clickbait"
"f6827a69-fa1d-4cd5-a618-cabd740fc459","El festival CANETROCK hará una prueba de covid a los 22.000 asistentes","efa3683b-af6a-4208-8ee6-75aa91e7253b","cultura"
"b8f7c75b-b40a-4dbe-8f53-ff5085381e08","Mediodía. COPE MÁS Valencia | 21.06.2021","689e8b5a-fe7b-49af-8f2a-9d81c68c6ae1","n/a"
"7f514610-a307-41fe-aef0-b9222caed41b","El IND concede seis premios 'Valores del Deporte en Positivo 2021'","ed198b6d-a5b9-4557-91ff-c0be51707dec","deportes"
"f3fdb554-47c6-4922-88d0-762c049edd1c","El Ayuntamiento de Oropesa prohíbe la celebración de la noche de San Juan en las playas","209ae89e-55b4-41fd-aac0-5400feab479e","politica"
"5b5d9e5c-bf40-4df4-bf52-c58394e24508","Vacuna Covid-19 México hoy 20 de junio: ¿Cuántas dosis se han aplicado y cuántos casos de coronavirus van al momento?","0a33b88a-3a9c-4c2d-bb5b-ce2264aead50","clickbait"
"cea5b56b-dd6e-46e4-8cc8-d56c201e91fd","Alquileres de entre 150 y 350 euros: el plan del Gobierno para vivienda social de la Sareb","209ae89e-55b4-41fd-aac0-5400feab479e","politica"
"4119184e-8dde-44c9-96e8-6613c1a247a7","Calvo preside este lunes la reunión previa para conceder los indultos","209ae89e-55b4-41fd-aac0-5400feab479e","politica"
"5cf83903-e78f-4298-abeb-efcd5df625d4","EL PSOE ANUNCIA QUE CONCLUIDO EL PLAZO DE 72 HORAS PARA QUE DIMITIERA SALVADOR INICIA ESTA SEMANA LA RONDA DE CONTACTOS CON LOS GRUPOS","209ae89e-55b4-41fd-aac0-5400feab479e","politica"
"86288ac1-9c31-4b79-8a4a-16edf5974774","Debes evitar hacer esto antes de irte a dormir","0a33b88a-3a9c-4c2d-bb5b-ce2264aead50","clickbait"
"15d48c92-e42d-4c02-8940-80e188364259","Una campaña impulsa la donación de energía fotovoltaica y de sistemas solares comunitarios","2514187e-bc5e-42e1-a19f-3e9ce48da0b4","medio_ambiente"
"9ca868d6-db19-4289-8147-d51994ff22d3","Para acceder a toda la oferta de servicios de 2Playbook necesitas unirte al Club, Biblioteca online, red de contactos y más te esperan.","689e8b5a-fe7b-49af-8f2a-9d81c68c6ae1","n/a"
"d27dc14b-7ed3-43b7-83a0-6e53289094ed","La princesa Latifa de Dubai fotografiada en Barajas","0a33b88a-3a9c-4c2d-bb5b-ce2264aead50","clickbait"
"c2a2b2fa-4066-4886-b55e-cd3388cb6da7","\"Completamente irreconocible\": el cambio radical de Brendan Fraser para interpretar su próximo papel","0a33b88a-3a9c-4c2d-bb5b-ce2264aead50","clickbait"
"d69ebc20-ae78-4014-811f-44614e0997c6","Marc Márquez regresa a lo más alto 581 días después","ed198b6d-a5b9-4557-91ff-c0be51707dec","deportes"
"1e14c943-e690-4a8f-9f84-13181492f18b","Gordillo y el adiós a Del Sol: \"Se ha perdido a una gran persona\"","81b36360-6cbf-4ffa-b558-9ef95c136714","sociedad"
"bfcbc740-0c2c-4336-8316-f80115a1846c","La Plataforma Pro Servicios de la Comarca de Tomelloso afirma que con el «divide y vencerás, perdemos todos»","689e8b5a-fe7b-49af-8f2a-9d81c68c6ae1","n/a"
"d9092182-085a-410c-85ea-283394dbae73","Hacia un test de Toxoplasma que permita diferenciar la vía de infección","2aebfc4e-945e-4202-b599-0ae1a2d5ed00","ciencia_tecnologia"
"2c63fbe3-032b-4bad-ab71-88184dab86f5","Calviño confirma que el Gobierno estudia medidas para \"aliviar\" en la factura el encarecimiento de la electricidad","209ae89e-55b4-41fd-aac0-5400feab479e","politica"
"517968d2-6289-4645-a533-60f2d7008632","Mueren ahogados dos bañistas en una cala de Almería","81b36360-6cbf-4ffa-b558-9ef95c136714","sociedad"
"2091ca7c-ec77-4716-b644-7a36d87846ce","España vendió armas a Marruecos por 12,5 millones en 2020","209ae89e-55b4-41fd-aac0-5400feab479e","politica"
"bf844374-1a36-4a59-b76f-8cc299969baf","Lloret de Mar (Girona) ofrece test Covid bonificados para franceses","81b36360-6cbf-4ffa-b558-9ef95c136714","sociedad"
"ca6d2c6d-c75b-4a13-8ab9-b19c55eabfbb","El caso del estrangulamiento de Burriana se encalla tras dos meses","0a33b88a-3a9c-4c2d-bb5b-ce2264aead50","clickbait"
"3733f585-aa26-4f4f-b4a1-3ffb8ea0cd80","57-83. Breogán asciende con brillantez a la ACB y acaba con sueño granadino","ed198b6d-a5b9-4557-91ff-c0be51707dec","deportes"
"cd15ddb9-aebe-4c53-82b9-eb8f987877ae","\"Atrápame si puedes\" despide el mes de junio con un bote de 49.000 euros","0a33b88a-3a9c-4c2d-bb5b-ce2264aead50","clickbait"
